Date,Close,High,Low,Open,Volume
2024-08-28,73632.203125,73632.203125,72668.43083278796,73053.93974967278,9794514
2024-08-29,71319.1328125,71993.77325802365,70837.2467799831,70933.62398648649,16884479
2024-08-30,71608.28125,72282.92185397039,71415.52679172275,71704.65847913863,16358520
2024-09-02,71704.65625,71993.78792842742,70837.26121471774,71801.03347614247,12641376
2024-09-03,69873.4921875,71608.28233836207,69873.4921875,71415.52787715517,16314599
2024-09-04,67464.0546875,68524.20411830356,67271.3002455357,67271.3002455357,27366563
2024-09-05,66500.2734375,68620.57201086957,66500.2734375,67560.42272418478,25686769
2024-09-06,66403.9140625,67174.9319326016,65536.5189586357,66596.6685300254,19022299
2024-09-09,65054.62109375,65729.2616087963,64187.22614583334,64476.35779513889,23263298
2024-09-10,63801.72265625,64861.87212636896,63608.96820713746,64572.74045270015,30651376
2024-09-11,62548.81640625,63127.07973203968,61874.17585949538,62741.570848179894,35809707
2024-09-12,63898.1015625,64187.233243778275,62837.952064479636,63608.96988122172,35884106
2024-09-13,62066.9375,63127.08705357143,61970.56026785714,62645.20089285714,25045135
2024-09-19,60814.0234375,62066.92724841522,59946.62849148178,61681.41838351823,49402713
2024-09-20,60717.6484375,62356.06117311508,60717.6484375,61488.666195436504,32746056
2024-09-23,60332.1328125,61199.52769319089,59946.62397663738,60043.00118560303,28542376
2024-09-24,60910.40625,61103.16070015823,60139.38844936709,60524.897349683546,26957500
2024-09-25,59946.62890625,61874.17324407154,59946.62890625,61488.66437650723,28652438
2024-09-26,62356.05859375,62548.81302526082,61392.28643619591,61585.040867706724,37566015
2024-09-27,62221.34375,63384.35952102803,62221.34375,62705.933654595014,28433030
2024-09-30,59604.55859375,62318.26207444106,59604.55859375,62221.344092987805,32694163
2024-10-02,59410.7265625,59992.234489702285,58053.874732361335,58635.38265956362,28473536
2024-10-04,58732.29296875,59798.39069590553,58635.37499355404,59119.964869533826,24247578
2024-10-07,59119.9765625,59992.23851178279,57666.20664702869,58344.63260758197,35066533
2024-10-08,58441.55078125,59119.97674388474,58053.878802601575,58150.796797263676,27411786
2024-10-10,57084.69140625,58344.62517243208,57084.69140625,58247.70719041808,45262214
2024-10-11,57472.36328125,58247.70713664629,57181.609335476394,57278.52731740093,29623969
2024-10-14,57472.36328125,59313.80493781619,57569.28126317453,57666.19924509907,20886249
2024-10-15,59119.9765625,59507.64853995902,58247.71461321721,59216.894556864754,22715239
2024-10-16,57666.19921875,58150.789128151264,57375.445273109246,57569.28123686975,23303268
2024-10-17,57860.03515625,58247.70708359506,57278.52726523241,57569.2812107412,23372873
2024-10-18,57375.44140625,58247.70318438556,57278.5234309016,58053.86723368877,14420260
2024-10-21,57181.61328125,57763.121212923725,56697.023338188555,57181.61328125,18514905
2024-10-22,55921.67578125,57084.69156872833,55921.67578125,56987.773586438474,27582527
2024-10-23,57278.52734375,58150.78918147208,55340.167704367595,55727.83963224408,27300780
2024-10-24,54855.578125,56697.01979350707,54855.578125,56406.26584584806,31499922
2024-10-25,54177.15625,55146.33614713775,54080.23826028623,54274.07423971377,25829315
2024-10-28,56309.3515625,56697.02351817986,53983.31982842083,53983.31982842083,27775009
2024-10-29,57763.12109375,57763.12109375,55534.007360266354,56212.43327915268,28369314
2024-10-30,57278.52734375,57956.95321753384,56793.9374339044,57278.52734375,19838511
2024-10-31,57375.44140625,59313.80091321791,56503.17962811444,56697.01557881123,35809196
